City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,Akureyri,65.6835,-18.0878,278.11,87,75,3.6,IS,1731219094
234,Kristiansund,63.1115,7.732,281.0,87,100,2.06,NO,1731218955
235,San jose del guaviare,2.5729,-72.6459,295.89,99,100,0.83,CO,1731219099
236,Khandyga,62.6667,135.6,258.58,98,99,0.52,RU,1731219101
237,Tazovsky,67.4667,78.7,266.3,94,100,7.78,RU,1731219103
238,Praia,14.9215,-23.5087,297.9,82,64,5.42,CV,1731218887
239,Caetite,-14.0694,-42.475,291.92,92,84,0.89,BR,1731218934
240,Leninskoye,41.7589,69.3864,282.76,51,0,2.58,KZ,1731219110
241,Selkirk,50.1436,-96.8845,278.25,89,100,0.89,CA,1731219112
242,Champerico,14.3,-91.9167,299.39,85,46,1.44,GT,1731219115
243,Talnakh,69.4865,88.3972,251.71,95,32,2.38,RU,1731219117
244,Ouadda,8.0777,22.4007,296.78,63,100,0.62,CF,1731219119
245,Adis zemen,12.1167,37.7833,292.53,47,4,1.68,ET,1731219121
246,Lodeynoye pole,60.726,33.5531,272.15,92,70,1.48,RU,1731219123
247,Doka,13.5167,35.7667,302.42,38,3,2.34,SD,1731219126
248,Oistins,13.0667,-59.5333,302.2,79,75,8.23,BB,1731219128
249,Lorengau,-2.0226,147.2712,302.13,75,43,0.6,PG,1731219130
250,Santiago de cao,-7.9589,-79.2392,290.22,94,100,4.12,PE,1731219132
251,Isiro,2.7739,27.616,293.32,97,100,1.23,CD,1731219134
252,Kapuskasing,49.4169,-82.4331,277.2,75,75,4.12,CA,1731219136
253,East london,-33.0153,27.9116,292.67,59,20,1.03,ZA,1731219139
254,Staroyur'yevo,53.3161,40.7081,278.46,72,100,4.01,RU,1731219141
255,Guiuan,11.0333,125.7247,302.05,74,95,4.37,PH,1731219143
256,Portland,45.5234,-122.6762,283.67,90,0,0.45,US,1731219145
257,Manzini,-26.25,31.5,295.42,80,100,1.29,SZ,1731219147
258,Kavieng,-2.5744,150.7967,301.43,74,100,2.95,PG,1731219149
259,Punta arenas,-53.15,-70.9167,278.21,81,40,5.66,CL,1731219145
260,Pali,25.7667,73.3333,305.34,20,0,2.5,IN,1731219154
261,Sukhodol,53.9006,51.2117,276.26,80,83,6.1,RU,1731219156
262,Tamandare,-8.7597,-35.1047,297.86,80,23,4.97,BR,1731219158
263,Constantia,44.1833,28.65,279.65,84,57,1.98,RO,1731218945
264,Mujiayingzi,42.1167,118.7833,284.92,22,21,2.95,CN,1731219162
265,Kapa'a,22.0752,-159.319,297.33,95,75,7.72,US,1731219165
266,Richfield,44.8833,-93.283,282.29,95,100,4.12,US,1731219167
267,Benguela,-12.5763,13.4055,297.42,83,99,1.14,AO,1731219169
268,Mitsamiouli,-11.3847,43.2844,300.12,73,3,2.33,KM,1731219171
269,Gadzhiyevo,69.2551,33.3362,274.57,89,80,7.05,RU,1731219173
270,Hasaki,35.7333,140.8333,292.31,76,95,1.5,JP,1731219175
271,Tra vinh,9.9347,106.3453,303.65,69,69,3.21,VN,1731219178
272,Gostyn,51.8825,17.0123,272.05,96,27,2.24,PL,1731219180
273,Cambria,35.5641,-121.0808,286.99,47,67,1.3,US,1731219182
274,Brisas de zicatela,15.8369,-97.0419,299.04,85,84,2.1,MX,1731219184
275,Belyy yar,53.6039,91.3903,272.09,69,0,4.0,RU,1731219186
276,Mulayjah,27.271,48.4242,300.17,25,13,3.44,SA,1731219188
277,Jamaame,0.0697,42.745,303.48,60,49,3.54,SO,1731219191
278,Coquimbo,-29.9533,-71.3436,287.0,85,0,2.57,CL,1731219064
279,Tanumah,27.1,44.1333,296.46,34,58,6.93,SA,1731219195
280,Rimouski,48.4488,-68.524,273.44,63,18,4.88,CA,1731218976
281,Mashava,-20.0367,30.4823,300.39,38,76,4.11,ZW,1731219199
282,Ugoofaaru,5.6667,73.0,301.1,71,25,1.12,MV,1731219202
283,Nuuk,64.1835,-51.7216,271.49,80,100,1.54,GL,1731219204
284,George town,5.4112,100.3354,305.11,66,20,4.63,MY,1731218951
285,Barcelos,41.5388,-8.6151,286.9,92,99,1.31,PT,1731219208
286,Nguigmi,14.2495,13.1092,294.23,28,97,4.11,NE,1731219210
287,Aioun,16.6614,-9.6149,295.6,17,0,4.58,MR,1731219213
288,Sinabang,2.4803,96.3801,301.28,77,100,0.3,ID,1731219215
289,Qusmuryn,52.4503,64.6311,274.6,91,99,7.35,KZ,1731219217
290,Lycksele,64.5954,18.6735,265.08,100,75,0.0,SE,1731219219
291,Visby,57.6409,18.296,279.27,93,100,3.09,SE,1731219221
292,Felipe carrillo puerto,19.5833,-88.05,296.57,99,97,0.6,MX,1731219223
293,Tura,25.5198,90.2201,300.98,56,0,1.66,IN,1731219226
294,Utrik,11.2278,169.8474,301.4,79,17,9.83,MH,1731219228
